trade_date,open,high,low,close,vol
2023-02-15,44.97,45.56,44.53,45.54,151198.89
2023-02-16,45.4,45.68,44.25,44.6,209077.93
2023-02-17,44.6,44.95,44.1,44.36,115566.55
2023-02-20,44.36,45.0,43.93,45.0,142637.62
2023-02-21,44.99,45.97,44.89,45.52,170261.83
2023-02-22,45.22,45.86,45.22,45.74,154218.36
2023-02-23,45.68,45.8,45.28,45.56,94680.85
2023-02-24,45.66,46.88,45.65,45.94,235757.82
2023-02-27,45.88,46.31,45.25,45.51,170282.92
2023-02-28,45.32,46.29,45.32,45.9,122863.21
2023-03-01,45.9,46.2,45.7,46.18,100958.57
2023-03-02,46.22,47.17,46.18,46.66,229311.34
2023-03-03,46.63,47.8,46.26,47.39,234475.19
2023-03-06,47.84,48.28,46.85,47.32,233884.83
2023-03-07,47.03,47.16,46.12,46.31,239728.73
2023-03-08,46.05,47.07,46.03,46.54,109061.67
2023-03-09,46.52,46.59,45.79,46.09,121107.06
2023-03-10,45.99,46.3,45.32,45.33,119327.71
2023-03-13,45.29,46.29,45.28,46.29,92268.89
2023-03-14,46.2,46.3,45.31,46.02,116421.8
2023-03-15,46.02,46.38,45.55,45.66,103419.11
2023-03-16,45.38,45.65,44.35,44.72,130941.49
2023-03-17,44.8,45.48,44.7,44.98,84929.13
2023-03-20,44.99,45.19,44.34,44.58,75688.21
2023-03-21,45.53,47.13,45.5,46.46,226641.87
2023-03-22,46.46,46.5,44.85,45.03,226712.89
2023-03-23,44.8,45.65,44.48,45.62,182566.97
2023-03-24,45.55,45.91,44.94,45.76,125451.69
2023-03-27,45.53,45.89,44.81,44.88,115430.87
2023-03-28,44.8,45.18,44.16,44.3,123425.31
2023-03-29,44.2,44.28,43.2,43.5,154649.38
2023-03-30,43.48,43.79,43.04,43.55,100175.91
2023-03-31,43.4,43.4,42.8,43.15,140079.1
2023-04-03,43.16,43.72,42.9,43.65,156658.05
2023-04-04,43.54,43.54,42.6,42.9,165185.42
2023-04-06,42.88,43.86,42.5,43.74,156976.37
2023-04-07,43.66,44.04,43.5,43.69,96729.62
2023-04-10,43.99,44.51,43.63,43.7,120580.18
2023-04-11,43.76,43.76,43.09,43.2,81423.88
2023-04-12,43.22,43.36,42.8,42.97,81814.01
2023-04-13,43.01,43.5,42.7,43.05,80311.28
2023-04-14,43.03,43.13,42.7,43.09,70766.09
2023-04-17,43.1,43.48,42.89,43.45,87307.79
2023-04-18,43.45,43.58,42.87,43.39,105487.78
2023-04-19,43.2,43.28,42.59,42.8,108954.53
2023-04-20,42.8,43.43,42.1,43.07,159777.43
2023-04-21,43.06,44.99,42.98,43.67,313438.23
2023-04-24,43.75,44.03,42.2,43.2,175056.43
2023-04-25,43.07,43.77,42.02,42.3,148860.1
2023-04-26,42.0,43.88,41.81,43.18,155100.96
2023-04-27,43.03,44.18,43.02,44.06,158251.77
2023-04-28,44.23,44.23,43.46,43.76,108521.67
2023-05-04,43.62,43.68,42.55,42.88,149360.38
2023-05-05,42.97,42.97,41.99,42.16,113552.13
2023-05-08,42.18,43.25,42.18,43.1,165774.18
2023-05-09,43.18,44.65,42.95,43.14,238638.86
2023-05-10,43.0,43.2,42.41,42.61,127970.1
2023-05-11,42.69,42.73,42.13,42.25,80727.7
2023-05-12,42.27,42.38,40.9,41.25,193187.22
2023-05-15,41.1,42.56,41.01,42.5,130803.04
2023-05-16,42.5,42.51,41.95,42.11,61757.87
2023-05-17,42.07,42.93,41.92,42.57,123720.18
2023-05-18,42.5,42.5,41.7,41.9,103930.71
2023-05-19,41.88,42.33,41.53,42.05,96578.04
2023-05-22,41.9,42.08,41.6,41.8,63411.71
2023-05-23,41.82,41.86,41.1,41.1,71497.98
2023-05-24,41.1,41.1,40.2,40.2,108997.79
2023-05-25,40.2,41.15,39.81,40.89,130832.94
2023-05-26,40.99,41.32,39.99,40.43,139986.19
2023-05-29,40.81,41.38,40.13,40.3,97880.03
2023-05-30,39.93,40.35,39.05,39.68,141519.2
2023-05-31,39.72,40.45,39.69,39.75,87956.22
2023-06-01,39.61,40.79,39.54,40.35,100992.45
2023-06-02,40.34,41.17,40.23,40.84,126288.0
2023-06-05,41.09,41.1,39.82,39.92,125614.25
2023-06-06,39.92,40.06,39.45,39.66,88806.33
2023-06-07,39.56,39.66,39.06,39.58,94442.35
2023-06-08,39.4,39.77,39.19,39.53,67379.83
2023-06-09,39.55,40.31,39.03,40.19,125546.43
2023-06-12,40.0,40.0,39.33,39.41,89667.67
2023-06-13,39.39,39.57,39.11,39.48,75113.74
2023-06-14,39.5,39.65,39.2,39.23,61572.26
2023-06-15,39.3,40.0,39.1,39.9,107667.71
2023-06-16,39.85,41.12,39.75,40.79,198974.07
2023-06-19,40.78,41.11,39.98,40.1,156812.69
2023-06-20,40.15,41.3,39.95,41.18,215512.24
2023-06-21,41.0,41.26,40.41,40.52,144404.72
2023-06-26,40.51,40.94,40.2,40.4,105881.22
2023-06-27,40.44,41.22,40.2,40.83,126421.28
2023-06-28,40.86,41.72,40.5,41.34,162845.68
2023-06-29,41.27,41.75,41.08,41.12,165649.2
2023-06-30,41.15,42.88,41.15,42.26,282597.0
2023-07-03,42.66,43.4,42.26,42.84,249403.25
2023-07-04,42.75,43.14,42.57,42.91,164113.85
2023-07-05,42.88,43.0,42.39,42.56,106118.34
2023-07-06,42.6,42.85,42.05,42.27,105638.16
2023-07-07,42.38,42.49,41.73,41.78,112535.51
2023-07-10,42.0,42.39,41.62,42.05,88894.81
2023-07-11,42.08,42.48,41.97,42.39,69421.15
2023-07-12,42.43,42.46,41.41,41.52,86637.89
2023-07-13,41.52,41.86,41.52,41.77,64402.0
2023-07-14,41.76,41.96,41.45,41.5,75860.64
2023-07-17,41.35,41.76,41.09,41.26,51720.65
2023-07-18,41.18,41.75,41.05,41.46,55048.32
2023-07-19,41.32,41.61,41.15,41.48,55445.19
2023-07-20,41.5,41.79,40.41,40.58,96072.17
